P.019_N.01_019/01/02_8,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL ,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),8,531
P.019_N.01_019/01/03_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/03,KAMPUNG TEBING ,SMU (A) MEHELIAH GETING,1,214
P.019_N.01_019/01/03_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/03,KAMPUNG TEBING ,SMU (A) MEHELIAH GETING,2,281
P.019_N.01_019/01/03_3,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/03,KAMPUNG TEBING ,SMU (A) MEHELIAH GETING,3,467
P.019_N.01_019/01/03_4,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/03,KAMPUNG TEBING ,SMU (A) MEHELIAH GETING,4,528
P.019_N.01_019/01/04_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING ,SEKOLAH KEBANGSAAN GETING (1),1,187
P.019_N.01_019/01/04_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING ,SEKOLAH KEBANGSAAN GETING (1),2,286
P.019_N.01_019/01/04_3,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING ,SEKOLAH KEBANGSAAN GETING (1),3,498
P.019_N.01_019/01/04_4,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING ,SEKOLAH KEBANGSAAN GETING (1),4,449
P.019_N.01_019/01/04_5,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING ,SEKOLAH KEBANGSAAN GETING (1),5,459
P.019_N.01_019/01/04_6,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING ,SEKOLAH KEBANGSAAN GETING (1),6,474
P.019_N.01_019/01/04_7,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING ,SEKOLAH KEBANGSAAN GETING (1),7,484
P.019_N.01_019/01/04_8,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/04,KAMPUNG GETING ,SEKOLAH KEBANGSAAN GETING (1),8,550
P.019_N.01_019/01/05_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN ,SEKOLAH KEBANGSAAN SIMPANGAN,1,204
P.019_N.01_019/01/05_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN ,SEKOLAH KEBANGSAAN SIMPANGAN,2,294
P.019_N.01_019/01/05_3,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN ,SEKOLAH KEBANGSAAN SIMPANGAN,3,492
P.019_N.01_019/01/05_4,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/05,SIMPANGAN ,SEKOLAH KEBANGSAAN SIMPANGAN,4,549
P.019_N.01_019/01/06_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH ,MAKTAB RENDAH SAINS MARA TUMPAT,1,266
P.019_N.01_019/01/06_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH ,MAKTAB RENDAH SAINS MARA TUMPAT,2,336
P.019_N.01_019/01/06_3,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH ,MAKTAB RENDAH SAINS MARA TUMPAT,3,475
P.019_N.01_019/01/06_4,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH ,MAKTAB RENDAH SAINS MARA TUMPAT,4,405
P.019_N.01_019/01/06_5,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH ,MAKTAB RENDAH SAINS MARA TUMPAT,5,409
P.019_N.01_019/01/06_6,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH ,MAKTAB RENDAH SAINS MARA TUMPAT,6,404
P.019_N.01_019/01/06_7,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH ,MAKTAB RENDAH SAINS MARA TUMPAT,7,445
P.019_N.01_019/01/06_8,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/06,TUJOH ,MAKTAB RENDAH SAINS MARA TUMPAT,8,494
P.019_N.01_019/01/07_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/07,TELAGA BATA ,SEKOLAH KEBANGSAAN BUNOHAN,1,291
P.019_N.01_019/01/07_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/07,TELAGA BATA ,SEKOLAH KEBANGSAAN BUNOHAN,2,489
P.019_N.01_019/01/07_3,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/07,TELAGA BATA ,SEKOLAH KEBANGSAAN BUNOHAN,3,452
P.019_N.01_019/01/07_4,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/07,TELAGA BATA ,SEKOLAH KEBANGSAAN BUNOHAN,4,481
P.019_N.01_019/01/08_5,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/08,BUNOHAN ,SEKOLAH KEBANGSAAN BUNOHAN,5,286
P.019_N.01_019/01/08_6,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/08,BUNOHAN ,SEKOLAH KEBANGSAAN BUNOHAN,6,412
P.019_N.01_019/01/08_7,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/08,BUNOHAN ,SEKOLAH KEBANGSAAN BUNOHAN,7,389
P.019_N.01_019/01/08_8,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/08,BUNOHAN ,SEKOLAH KEBANGSAAN BUNOHAN,8,443
P.019_N.01_019/01/09_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/09,JUBAKAR DARAT ,SEKOLAH KEBANGSAAN SRI NETING,1,272
P.019_N.01_019/01/09_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/09,JUBAKAR DARAT ,SEKOLAH KEBANGSAAN SRI NETING,2,302
P.019_N.01_019/01/09_3,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/09,JUBAKAR DARAT ,SEKOLAH KEBANGSAAN SRI NETING,3,280
P.019_N.01_019/01/10_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG ,SEKOLAH KEBANGSAAN BENDANG PA' YONG,1,196
P.019_N.01_019/01/10_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG ,SEKOLAH KEBANGSAAN BENDANG PA' YONG,2,249
P.019_N.01_019/01/10_3,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG ,SEKOLAH KEBANGSAAN BENDANG PA' YONG,3,418
P.019_N.01_019/01/10_4,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG ,SEKOLAH KEBANGSAAN BENDANG PA' YONG,4,439
P.019_N.01_019/01/10_5,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG ,SEKOLAH KEBANGSAAN BENDANG PA' YONG,5,439
P.019_N.01_019/01/10_6,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG ,SEKOLAH KEBANGSAAN BENDANG PA' YONG,6,438
P.019_N.01_019/01/10_7,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/10,KAMPUNG BENDANG PAK YONG ,SEKOLAH KEBANGSAAN BENDANG PA' YONG,7,503
P.019_N.01_019/01/11_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/11,KAMPUNG TELOK JERING ,SEKOLAH KEBANGSAAN TELUK JERING,1,304
P.019_N.01_019/01/11_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/11,KAMPUNG TELOK JERING ,SEKOLAH KEBANGSAAN TELUK JERING,2,395
P.019_N.01_019/01/12_1,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/12,KEDAI GETING ,SEKOLAH MENENGAH KEBANGSAAN GETING,1,311
P.019_N.01_019/01/12_2,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/12,KEDAI GETING ,SEKOLAH MENENGAH KEBANGSAAN GETING,2,471
P.019_N.01_019/01/12_3,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/12,KEDAI GETING ,SEKOLAH MENENGAH KEBANGSAAN GETING,3,443
P.019_N.01_019/01/12_4,,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/12,KEDAI GETING ,SEKOLAH MENENGAH KEBANGSAAN GETING,4,477
P.019_N.02_019/02/01_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/01,JUBAKAR PANTAI ,SEKOLAH KEBANGSAAN SUNGAI TAPANG,1,295
P.019_N.02_019/02/01_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/01,JUBAKAR PANTAI ,SEKOLAH KEBANGSAAN SUNGAI TAPANG,2,323
P.019_N.02_019/02/01_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/01,JUBAKAR PANTAI ,SEKOLAH KEBANGSAAN SUNGAI TAPANG,3,411
P.019_N.02_019/02/01_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/01,JUBAKAR PANTAI ,SEKOLAH KEBANGSAAN SUNGAI TAPANG,4,388
P.019_N.02_019/02/01_5,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/01,JUBAKAR PANTAI ,SEKOLAH KEBANGSAAN SUNGAI TAPANG,5,399
P.019_N.02_019/02/01_6,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/01,JUBAKAR PANTAI ,SEKOLAH KEBANGSAAN SUNGAI TAPANG,6,466
P.019_N.02_019/02/02_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/02,DALAM RHU ,SEKOLAH KEBANGSAAN TUMPAT,1,240
P.019_N.02_019/02/02_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/02,DALAM RHU ,SEKOLAH KEBANGSAAN TUMPAT,2,286
P.019_N.02_019/02/02_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/02,DALAM RHU ,SEKOLAH KEBANGSAAN TUMPAT,3,395
P.019_N.02_019/02/02_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/02,DALAM RHU ,SEKOLAH KEBANGSAAN TUMPAT,4,367
P.019_N.02_019/02/02_5,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/02,DALAM RHU ,SEKOLAH KEBANGSAAN TUMPAT,5,371
P.019_N.02_019/02/02_6,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/02,DALAM RHU ,SEKOLAH KEBANGSAAN TUMPAT,6,432
P.019_N.02_019/02/03_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/03,BANDAR TUMPAT ,SEKOLAH KEBANGSAAN TUMPAT (1),1,222
P.019_N.02_019/02/03_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/03,BANDAR TUMPAT ,SEKOLAH KEBANGSAAN TUMPAT (1),2,281
P.019_N.02_019/02/03_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/03,BANDAR TUMPAT ,SEKOLAH KEBANGSAAN TUMPAT (1),3,407
P.019_N.02_019/02/03_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/03,BANDAR TUMPAT ,SEKOLAH KEBANGSAAN TUMPAT (1),4,367
P.019_N.02_019/02/03_5,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/03,BANDAR TUMPAT ,SEKOLAH KEBANGSAAN TUMPAT (1),5,437
P.019_N.02_019/02/04_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/04,TANJONG KUALA ,SEKOLAH KEBANGSAAN SRI TUMPAT (2),1,267
P.019_N.02_019/02/04_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/04,TANJONG KUALA ,SEKOLAH KEBANGSAAN SRI TUMPAT (2),2,394
P.019_N.02_019/02/04_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/04,TANJONG KUALA ,SEKOLAH KEBANGSAAN SRI TUMPAT (2),3,343
P.019_N.02_019/02/04_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/04,TANJONG KUALA ,SEKOLAH KEBANGSAAN SRI TUMPAT (2),4,435
P.019_N.02_019/02/05_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/05,KAMPUNG BESUT ,KOMPLEKS PERPADUAN JAJAHAN TUMPAT,1,290
P.019_N.02_019/02/05_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/05,KAMPUNG BESUT ,KOMPLEKS PERPADUAN JAJAHAN TUMPAT,2,343
P.019_N.02_019/02/05_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/05,KAMPUNG BESUT ,KOMPLEKS PERPADUAN JAJAHAN TUMPAT,3,327
P.019_N.02_019/02/05_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/05,KAMPUNG BESUT ,KOMPLEKS PERPADUAN JAJAHAN TUMPAT,4,376
P.019_N.02_019/02/06_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/06,KAMPUNG KELONG ,MAAHAD MUHAMMADI TUMPAT,1,314
P.019_N.02_019/02/06_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/06,KAMPUNG KELONG ,MAAHAD MUHAMMADI TUMPAT,2,504
P.019_N.02_019/02/07_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/07,KAMPUNG BERANGAN ,SEKOLAH KEBANGSAAN BERANGAN (1),1,327
P.019_N.02_019/02/07_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/07,KAMPUNG BERANGAN ,SEKOLAH KEBANGSAAN BERANGAN (1),2,323
P.019_N.02_019/02/07_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/07,KAMPUNG BERANGAN ,SEKOLAH KEBANGSAAN BERANGAN (1),3,461
P.019_N.02_019/02/07_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/07,KAMPUNG BERANGAN ,SEKOLAH KEBANGSAAN BERANGAN (1),4,434
P.019_N.02_019/02/07_5,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/07,KAMPUNG BERANGAN ,SEKOLAH KEBANGSAAN BERANGAN (1),5,460
P.019_N.02_019/02/07_6,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/07,KAMPUNG BERANGAN ,SEKOLAH KEBANGSAAN BERANGAN (1),6,533
P.019_N.02_019/02/08_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/08,KAMPUNG PADANG TEMBESU ,SEKOLAH MENENGAH KEBANGSAAN BERANGAN,1,318
P.019_N.02_019/02/08_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/08,KAMPUNG PADANG TEMBESU ,SEKOLAH MENENGAH KEBANGSAAN BERANGAN,2,324
P.019_N.02_019/02/08_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/08,KAMPUNG PADANG TEMBESU ,SEKOLAH MENENGAH KEBANGSAAN BERANGAN,3,436
P.019_N.02_019/02/08_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/08,KAMPUNG PADANG TEMBESU ,SEKOLAH MENENGAH KEBANGSAAN BERANGAN,4,457
P.019_N.02_019/02/08_5,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/08,KAMPUNG PADANG TEMBESU ,SEKOLAH MENENGAH KEBANGSAAN BERANGAN,5,439
P.019_N.02_019/02/08_6,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/08,KAMPUNG PADANG TEMBESU ,SEKOLAH MENENGAH KEBANGSAAN BERANGAN,6,514
P.019_N.02_019/02/09_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/09,TERBAK ,SEKOLAH JENIS KEBANGSAAN (CINA) YUK TZE,1,255
P.019_N.02_019/02/09_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/09,TERBAK ,SEKOLAH JENIS KEBANGSAAN (CINA) YUK TZE,2,342
P.019_N.02_019/02/09_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/09,TERBAK ,SEKOLAH JENIS KEBANGSAAN (CINA) YUK TZE,3,498
P.019_N.02_019/02/09_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/09,TERBAK ,SEKOLAH JENIS KEBANGSAAN (CINA) YUK TZE,4,427
P.019_N.02_019/02/09_5,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/09,TERBAK ,SEKOLAH JENIS KEBANGSAAN (CINA) YUK TZE,5,419
P.019_N.02_019/02/09_6,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/09,TERBAK ,SEKOLAH JENIS KEBANGSAAN (CINA) YUK TZE,6,499
P.019_N.02_019/02/10_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/10,KELABORAN ,SEKOLAH KEBANGSAAN KELABORAN,1,341
P.019_N.02_019/02/10_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/10,KELABORAN ,SEKOLAH KEBANGSAAN KELABORAN,2,522
P.019_N.02_019/02/10_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/10,KELABORAN ,SEKOLAH KEBANGSAAN KELABORAN,3,441
P.019_N.02_019/02/10_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/10,KELABORAN ,SEKOLAH KEBANGSAAN KELABORAN,4,542
P.019_N.02_019/02/11_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/11,PULAU BELURU ,SEKOLAH KEBANGSAAN PULAU BELURU,1,267
P.019_N.02_019/02/11_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/11,PULAU BELURU ,SEKOLAH KEBANGSAAN PULAU BELURU,2,294
P.019_N.02_019/02/11_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/11,PULAU BELURU ,SEKOLAH KEBANGSAAN PULAU BELURU,3,403
P.019_N.02_019/02/11_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/11,PULAU BELURU ,SEKOLAH KEBANGSAAN PULAU BELURU,4,359
P.019_N.02_019/02/11_5,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/11,PULAU BELURU ,SEKOLAH KEBANGSAAN PULAU BELURU,5,386
P.019_N.02_019/02/12_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/12,MAK NERALANG ,SEKOLAH KEBANGSAAN KOK KELI,1,318
P.019_N.02_019/02/12_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/12,MAK NERALANG ,SEKOLAH KEBANGSAAN KOK KELI,2,317
P.019_N.02_019/02/12_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/12,MAK NERALANG ,SEKOLAH KEBANGSAAN KOK KELI,3,343
P.019_N.02_019/02/13_1,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/13,SUNGAI PINANG ,SEKOLAH KEBANGSAAN SUNGAI PINANG,1,349
P.019_N.02_019/02/13_2,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/13,SUNGAI PINANG ,SEKOLAH KEBANGSAAN SUNGAI PINANG,2,502
P.019_N.02_019/02/13_3,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/13,SUNGAI PINANG ,SEKOLAH KEBANGSAAN SUNGAI PINANG,3,568
P.019_N.02_019/02/14_4,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/14,KOK KELI ,SEKOLAH KEBANGSAAN KOK KELI,4,312
P.019_N.02_019/02/14_5,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/14,KOK KELI ,SEKOLAH KEBANGSAAN KOK KELI,5,346
P.019_N.02_019/02/14_6,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/14,KOK KELI ,SEKOLAH KEBANGSAAN KOK KELI,6,481
P.019_N.02_019/02/14_7,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/14,KOK KELI ,SEKOLAH KEBANGSAAN KOK KELI,7,464
P.019_N.02_019/02/14_8,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/14,KOK KELI ,SEKOLAH KEBANGSAAN KOK KELI,8,469
P.019_N.02_019/02/14_9,,NORMAL VOTE,P.019,TUMPAT,N.02,KELABORAN,019/02/14,KOK KELI ,SEKOLAH KEBANGSAAN KOK KELI,9,556
P.019_N.03_019/03/01_1,,NORMAL VOTE,P.019,TUMPAT,N.03,PASIR PEKAN,019/03/01,KAMPUNG BENDANG PULAU ,SEKOLAH KEBANGSAAN KAMPONG LAUT,1,346
P.019_N.03_019/03/01_2,,NORMAL VOTE,P.019,TUMPAT,N.03,PASIR PEKAN,019/03/01,KAMPUNG BENDANG PULAU ,SEKOLAH KEBANGSAAN KAMPONG LAUT,2,425
P.019_N.03_019/03/01_3,,NORMAL VOTE,P.019,TUMPAT,N.03,PASIR PEKAN,019/03/01,KAMPUNG BENDANG PULAU ,SEKOLAH KEBANGSAAN KAMPONG LAUT,3,463
P.019_N.03_019/03/02_1,,NORMAL VOTE,P.019,TUMPAT,N.03,PASIR PEKAN,019/03/02,KAMPUNG LAUT ,SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,1,306
P.019_N.03_019/03/02_2,,NORMAL VOTE,P.019,TUMPAT,N.03,PASIR PEKAN,019/03/02,KAMPUNG LAUT ,SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,2,325
